Date,AIG,AXP,BAC,BK,BLK,C,GS,JPM,MET,MS,PRU,SCHW,TROW,USB,WFC,AAPL,AMZN,BA,COST,DIS,GOOGL,HD,MCD,META,MSFT,NFLX,NKE,PEP,SBUX,TSLA
2020-03-02,37.07115173339844,105.80284881591795,25.62236976623535,34.72758102416992,426.0563659667969,55.03056335449219,184.6343994140625,104.15292358398438,37.0210075378418,38.956275939941406,60.98994445800781,38.87613296508789,100.13932037353516,37.94646453857422,36.78661346435547,72.33784484863281,97.69750213623048,289.2699890136719,283.6308288574219,118.0126495361328,68.90277099609375,201.30276489257807,179.47760009765625,195.3682098388672,165.08782958984375,381.0499877929688,86.72451782226562,116.83228302001952,73.4609146118164,49.574668884277344
2020-03-03,35.894561767578125,100.35800170898438,24.209083557128903,32.92167663574219,420.9307556152344,52.96253967285156,179.31051635742188,100.2446060180664,35.36769485473633,37.21296691894531,57.5402946472168,35.468223571777344,98.55118560791016,36.32332611083984,35.28067398071289,70.04046630859375,95.44950103759766,280.6199951171875,277.74969482421875,114.54051208496094,66.48725128173828,199.5518493652344,176.7838897705078,184.87576293945312,157.1769256591797,368.7699890136719,85.08698272705078,115.1339111328125,70.0901870727539,49.70066833496094
2020-03-04,36.80296325683594,107.50321197509766,24.76741600036621,34.33757400512695,435.7730102539063,54.86772918701172,183.990966796875,102.72159576416016,36.41451644897461,37.916988372802734,59.15780258178711,34.41250991821289,102.75691986083984,36.76457595825195,36.03800201416016,73.28923034667969,98.79149627685548,283.1199951171875,294.2735595703125,117.22576904296876,68.66818237304688,211.0553131103516,183.4384613037109,190.71371459960935,162.94769287109375,383.7900085449219,87.7632064819336,120.91690063476562,71.0443344116211,49.96666717529297
2020-03-05,35.167850494384766,103.08041381835938,23.51192855834961,33.32016372680664,415.6783447265625,51.69241714477539,175.22068786621094,97.68193817138672,33.74759292602539,35.695953369140625,55.393836975097656,32.22699737548828,97.3700714111328,34.49535369873047,33.861793518066406,70.91197967529297,96.20149993896484,260.3699951171875,289.7044982910156,112.1110382080078,65.34609985351562,205.56622314453125,175.72947692871094,184.15968322753903,158.85845947265625,372.7799987792969,84.75948333740234,118.0657730102539,67.94110870361328,48.30266571044922
2020-03-06,32.736812591552734,100.57171630859376,22.5725040435791,32.27731704711914,396.2701110839844,49.89307022094727,169.98497009277344,92.63371276855467,32.55124282836914,35.06735610961914,53.51568984985352,31.60654830932617,93.17233276367188,33.44740676879883,32.286216735839844,69.97026062011719,95.05449676513672,262.3299865722656,285.6493225097656,113.37986755371094,64.40077209472656,200.0508575439453,176.2079315185547,180.10194396972656,154.36801147460938,368.9700012207031,82.68212127685547,117.34762573242188,67.18312072753906,46.89866638183594
2020-03-09,28.38516998291016,91.32662963867188,19.25379180908203,29.632049560546875,368.6443176269531,41.82452774047852,152.3209686279297,80.08599853515625,27.134340286254883,31.42986869812012,44.646244049072266,28.031930923461918,82.70989227294922,28.617431640625,28.273292541503903,64.43616485595703,90.03050231933594,227.1699981689453,277.0616760253906,102.63893127441406,60.42709732055664,184.24884033203125,165.5748748779297,168.57518005371094,143.90606689453125,346.489990234375,78.70523834228516,111.2776336669922,63.16142272949219,40.53333282470703
2020-03-10,30.340381622314453,95.98168182373048,20.72877693176269,30.98859977722168,403.8275451660156,45.25223922729492,162.4927520751953,86.30842590332031,29.09505653381348,33.10613250732422,48.19555282592773,30.5045166015625,90.01205444335938,30.44541358947754,30.536548614501957,69.07693481445312,94.59100341796876,231.00999450683597,283.8692932128906,109.63235473632812,63.37839889526367,197.5908050537109,177.09402465820312,177.2177734375,153.7469482421875,364.1300048828125,82.6259765625,114.68024444580078,66.76402282714844,43.02199935913086
2020-03-11,28.056419372558597,88.62277221679688,19.903491973876957,28.996171951293945,379.1667785644531,41.35231018066406,151.51004028320312,82.24585723876953,27.66605758666992,30.90184593200684,44.43925857543945,30.03223419189453,84.21025085449219,28.53075408935547,28.142723083496094,66.6778793334961,91.04299926757812,189.0800018310547,272.8870849609375,103.7799072265625,60.18405151367188,187.62315368652344,166.80648803710938,169.31114196777344,146.78192138671875,349.9200134277344,78.60230255126953,110.92709350585938,60.90533065795898,42.28200149536133
2020-03-12,22.208091735839844,77.6123046875,18.007081985473633,25.028276443481445,339.7958068847656,35.22151184082031,132.81480407714844,75.46630859375,23.51199531555176,26.24184799194336,35.500816345214844,26.32797622680664,73.20513153076172,24.90630340576172,23.67713737487793,60.09311676025391,83.83049774169922,154.83999633789062,256.7577514648437,90.30455017089844,55.24616622924805,167.96983337402344,150.7505645751953,153.62721252441406,132.86134338378906,315.25,69.43203735351562,98.60755920410156,55.376590728759766,37.369998931884766
2020-03-13,24.967670440673828,92.54380798339844,21.211658477783203,28.936826705932617,364.0429992675781,41.55585861206055,156.16400146484375,89.05966186523438,26.527841567993164,31.42986869812012,40.56796646118164,31.365766525268555,86.50341033935547,29.232011795043945,26.88922119140625,67.29277801513672,89.25,170.1999969482422,277.3277282714844,100.83893585205078,60.3515510559082,181.2600555419922,156.9531707763672,169.35093688964844,151.75010681152344,336.29998779296875,70.72335052490234,108.96074676513672,62.34992980957031,36.44133377075195
